Year,AAPL,ABT,ACN,AEP,AMGN,APTV,ASML,ATO,AZO,BA,BKNG,BWA,CAT,CLX,CMI,COP,COST,CSCO,CSX,CVS,CVX,D,DIS,DPZ,DUK,EBAY,EOG,EW,GD,GILD,GM,HCA,HES,HII,HON,INTC,IPG,JNJ,LLY,MMM,MSFT,NFLX,NVDA,NVO,PEP,PFE,T,UNH,VZ,XOM
2014,9.711337229639242e-40,5.017252954996947e-49,8.241041823430919e-57,3.3863061506695374e-24,6.561818512696517e-25,5.629282311376514e-23,5.017252954996947e-49,3.1750660642801444e-25,1.6568171168026564e-24,1.77741178414554e-19,5.719541258413156e-40,2.480684557880855e-21,3.0953587719586688e-15,3.851701780732168e-45,1.4899011272964664e-26,1.7516638443237282e-36,8.19756171316276e-38,6.992258233012294e-36,4.539445928631563e-42,1.5130110992236196e-62,1.263047238460718e-46,3.709995433801549e-28,7.029043150567254e-57,3.6910218589036067e-31,1.8636465863041902e-30,1.882421543207443e-17,3.3223808198165378e-28,7.94402895370105e-39,3.944137921219487e-58,2.9749684377063045e-28,0.00031310567858119963,2.0838581586720548e-13,2.2833091328593472e-26,3.748904239624163e-24,1.429956637524784e-45,6.312015940973627e-50,4.910638333128517e-08,5.245218508000787e-92,8.617701309194813e-71,2.0142165343322945e-106,9.451117698368327e-62,6.813717258273385e-11,5.93215027238899e-26,1.2582761843032903e-92,7.355104613204718e-64,1.0839891632104245e-47,3.3223808198165378e-28,4.617177298545638e-23,5.088910855027255e-27,3.357717841589272e-58
2015,2.810651065234225e-18,4.180938756185846e-23,8.970596751396183e-45,5.3773291853340135e-15,8.94588955876991e-13,2.1464521713883206e-16,1.3948573004430363e-33,3.9972212057262326e-22,2.6023027485666153e-31,1.1875529036880496e-15,1.45239273272419e-29,5.41254390770384e-06,0.0314427629807527,5.1435106704237013e-54,4.900145868690933e-11,0.0002507068912805376,3.307231912220683e-30,5.337187130180928e-26,2.942381371044357e-09,3.708135054181647e-30,6.821187941186241e-08,7.356751347509135e-15,2.6023027485666153e-31,2.5749715380118873e-18,5.235149060763969e-11,8.718252919665642e-27,9.547872947704263e-09,7.213911986437128e-37,1.0603476521322666e-37,1.8052405273134202e-10,0.004145301361036037,7.124135801495341e-06,0.027428949703836802,4.016000583859089e-11,5.8170150784304904e-21,2.9832365946002394e-16,2.1124547025028537e-06,4.386752713074249e-40,1.974478864383474e-40,2.2954020602064443e-42,2.7281535713460872e-21,2.457865061808033e-09,2.3309184048183104e-16,4.6859613201495094e-63,8.508722424519194e-40,2.558133851935007e-36,8.610532781162838e-17,2.738812110130123e-14,2.8809116906508385e-17,3.6572951398335674e-19
2016,1.419219366848361e-16,7.746684865636453e-13,1.4429921122647634e-39,2.232393197288031e-17,1.3368876210822366e-17,2.5576810394515232e-06,4.799332557418866e-36,1.6976238047140015e-25,1.3368876210822366e-17,2.6903889146820088e-11,1.8638970098110965e-21,0.00028029327681617744,2.3143358525785495e-09,9.039357243533301e-49,9.19551143994008e-14,0.0002507068912805376,5.93215027238899e-26,3.709995433801549e-28,2.0838581586720548e-13,8.531401838998023e-14,2.5309880943476955e-16,9.307296202245797e-21,1.096074411996389e-28,1.0221610594963087e-20,6.22096057427174e-16,9.910342749547506e-14,1.480653749004806e-14,3.5309423958858923e-32,1.2742631455068554e-43,8.502508215475058e-09,0.0005976484979344158,5.9058912418922374e-05,0.00021577339929471735,4.14242119948583e-28,1.0475739937787437e-30,2.5398547430840443e-26,1.7941684935847086e-08,1.8512943510321842e-81,3.5230650789264074e-25,7.355104613204718e-64,2.96308087809436e-27,1.7903175724983385e-07,3.5347144951602906e-35,2.4746536476314537e-32,2.996259430138848e-50,3.708135054181647e-30,4.335719900535081e-37,3.6572951398335674e-19,1.8636465863041902e-30,2.282168183220205e-29
2017,7.310329631571713e-44,1.735707331851545e-38,3.2911298113310113e-73,2.9749684377063045e-28,8.658953075724385e-22,1.0331854986168566e-17,1.0296750859044461e-70,1.480217013003229e-35,5.669351253425653e-05,3.1118495108622976e-55,1.1324633475898262e-56,1.2869444739301265e-15,1.6233920450700977e-19,7.8510224587876745e-59,1.45239273272419e-29,2.599378712863627e-13,8.770030465159608e-29,1.3279015439167976e-42,4.1190985609726576e-20,2.457865061808033e-09,2.3989087990953112e-52,4.617177298545638e-23,2.7653524892772587e-54,5.950850821172039e-20,2.986473944424807e-22,3.0584759256386184e-24,8.314026059316387e-31,9.404465072648395e-20,3.0970082925927683e-74,1.306130888436644e-16,3.3476450827361606e-07,5.304292029750931e-07,1.5912379719082166e-05,8.237298967005512e-30,1.213657011982296e-57,3.4784328460295933e-50,0.0003624291490330437,2.8465221394986945e-92,3.5309423958858923e-32,1.09321255607252e-127,2.2904098705909123e-73,2.986473944424807e-22,4.8014196127044633e-26,2.7938409752284743e-52,3.4434890306226073e-75,7.324131119827091e-50,2.747959392398221e-16,1.367169246317988e-44,3.6572951398335674e-19,5.9946942854362e-57
2018,5.56820883838976e-38,1.9310657278568194e-43,3.961914542912786e-63,7.833590868390586e-20,5.0837078612103944e-24,5.645534385958028e-10,3.709995433801549e-28,6.117164399549705e-39,1.0326676912942683e-12,1.6941535024881217e-21,8.314026059316387e-31,3.0919815689561793e-06,7.242291705137607e-10,1.8209669160396952e-29,2.7896193978476454e-12,3.0584759256386184e-24,3.62285242314322e-39,3.961507044995103e-42,2.480684557880855e-21,0.0002507068912805376,1.0311441838944207e-23,3.714526726688684e-17,3.9573686815953815e-41,1.0221610594963087e-20,3.3504597475483304e-15,1.1862679362257254e-09,4.660237059133457e-30,4.7105538931142845e-56,2.7923343749396233e-19,1.0420976987965154e-11,0.08226443867766892,3.6530288027492174e-18,7.568649751997682e-09,8.531401838998023e-14,1.7719741278795474e-37,7.283623381655497e-17,1.9782955868224025e-05,1.1573416283690183e-40,3.442646917423505e-46,1.0202119635394443e-31,1.5730269714805075e-44,6.257292970006427e-19,1.757106927859479e-34,1.328742283146923e-73,3.732564298877714e-36,6.458955844957825e-56,9.679647960327305e-07,3.679808785071459e-27,1.1655521378082302e-18,8.237298967005512e-30
2019,6.809224890620016e-14,1.0805623953583793e-26,2.989795652813979e-47,7.843628154426059e-29,2.1464521713883206e-16,1.6949983136550837e-08,6.670329259926326e-33,1.2057723252164039e-37,6.711091794571066e-18,6.821187941186241e-08,2.7093988099789146e-22,1.8943619950553226e-05,0.0001121270259822469,4.336380078371669e-25,2.3498572875411047e-14,5.1883626018423995e-08,1.8848101865617052e-25,2.1554571483784284e-20,3.716130564205478e-14,0.008656319025516541,1.2714153635782473e-21,3.709995433801549e-28,3.6572951398335674e-19,1.6949983136550837e-08,1.7037808748572362e-23,8.601963985707761e-16,1.8283286635241601e-06,1.9875501506081352e-36,5.802147732383221e-13,6.380197266544708e-11,0.0010702938546789226,7.532364237868319e-05,0.00046647985610754917,9.731220704826788e-12,1.5302953915326662e-28,1.6369053955067787e-15,0.0010702938546789226,1.3194276579350778e-30,5.629282311376514e-23,1.1093412281591432e-12,5.8739200939814495e-31,5.304292029750931e-07,4.393953647146705e-10,5.016687653852077e-97,7.7935368191928e-45,8.610532781162838e-17,7.207723086467468e-13,4.393953647146705e-10,3.0554454569647886e-19,6.158764057732937e-17
2020,6.697950692373161e-17,7.746684865636453e-13,4.009741046439489e-14,0.001106684957409247,2.6492300679993974e-10,0.003907032574852774,2.810651065234225e-18,1.2768534413734933e-05,7.234804392511998e-05,0.48803352658588733,1.2347492123651642e-07,0.0037925623476854887,2.2517850388525404e-05,2.0218903994845152e-22,9.442031572442957e-08,0.07926984145339239,1.5866883204482676e-17,8.197983956451262e-10,1.6982674071475966e-07,0.011603791521903536,0.024419185280222543,0.00015910859015753364,2.909907071193099e-05,4.900145868690933e-11,0.002477074998785861,1.4759003170555342e-12,0.06811211796672544,3.0000128549763784e-21,0.0003624291490330437,1.5229981947977887e-05,0.3050257308975194,0.00913746753057267,0.11900010745520073,0.003166716277357793,8.764759729292019e-07,6.15171551832552e-05,0.1610870595108309,2.4393498361014527e-15,3.749888331162291e-13,3.1236421239300204e-09,6.154425590850395e-18,1.2869444739301265e-15,3.067598679040791e-18,1.770931996663095e-53,1.8989562465887685e-08,3.210095212234559e-12,0.005542623443082601,9.211295961671414e-07,4.98155700423125e-10,0.08850799143740196
2021,1.8636465863041902e-30,6.16853094182887e-36,3.1572412438633577e-64,1.2398547785502986e-13,1.480653749004806e-14,5.287258271431175e-16,3.363197379614153e-40,3.1236421239300204e-09,2.1300439632808103e-19,1.0221345183984062e-05,7.316664535724841e-16,1.1684565594707383e-05,2.4232685212989686e-12,4.009741046439489e-14,7.316664535724841e-16,7.275981822590321e-11,1.0324400985952982e-44,6.651841511674956e-67,1.096074411996389e-28,5.606677243315611e-12,9.325575771681205e-16,5.174252028971646e-18,1.306130888436644e-16,3.6572951398335674e-19,5.2055697448902465e-17,5.230957544144583e-12,4.5861309176724976e-11,1.4959065809496214e-76,3.9743225651408374e-32,1.2609160670206742e-23,4.097982646636349e-06,7.919726314642476e-17,2.5835739763997333e-07,4.326124005658103e-14,1.54335034317245e-27,2.4857744081530127e-10,6.4391197863958896e-12,5.8203611006209324e-55,1.5397160301520193e-21,2.004525837372405e-33,5.245733926080775e-64,7.833590868390586e-20,6.595771446113675e-31,2.6072544531517842e-76,6.312015940973627e-50,2.2454125677876915e-34,3.332044848542845e-08,2.282168183220205e-29,6.154425590850395e-18,6.237844463331586e-13
2022,1.4825721806110348e-19,1.3538338030657835e-19,5.662423419408385e-17,3.692499427235589e-12,1.662643347811789e-22,0.04181513761359493,1.3691379250250156e-11,2.8593992910041608e-15,1.008768746639288e-10,0.1445722996639096,7.455467091355119e-06,0.019226172227517282,2.5576810394515232e-06,6.3519685932719605e-09,1.109429501263461e-07,9.731220704826788e-12,1.0048965656526223e-14,1.77741178414554e-19,4.033853048947533e-13,1.5276782829456544e-07,7.477998357547414e-19,7.768847581709776e-11,0.0002602291824274667,4.935045062533269e-06,1.3951773404306783e-10,0.0050849257489910355,3.692499427235589e-12,3.986834611315957e-21,1.2389074787004817e-22,2.7923343749396233e-19,0.7611479319100133,0.004661188023718747,1.6949983136550837e-08,2.7896193978476454e-12,2.6411668473189364e-15,0.045513977321549805,0.05937994059479304,9.323695328119161e-38,1.3194276579350778e-30,1.0717590258310887e-08,1.8354979079822e-24,0.03437950244588998,8.475501985682819e-08,1.0603476521322666e-37,1.0947782435292241e-33,5.735422180258049e-16,0.004661188023718747,6.214794357638221e-23,0.00024151027356783604,2.738812110130123e-14
